race_id,row,col,exacta,exacta_reverse,quinella_place,verdict
2016-07-03_3_05,12,9,9999.9,9999.9,974.4,bet placed
2016-07-03_3_05,14,4,9999.9,8158.4,840.8,bet placed
2016-07-03_3_05,15,4,9999.9,9999.9,2413.4,bet placed
2016-07-03_3_05,15,12,9999.9,7145.9,730.1,bet placed
2016-07-03_3_05,16,4,9999.9,3527.2,561.1,bet placed
2016-07-15_3_01,5,8,9999.9,6298.9,370.3,bet placed
2016-07-15_3_01,6,8,9999.9,9999.9,445.7,bet placed
2016-07-15_3_01,8,6,9999.9,9999.9,445.7,bet placed
2016-07-15_3_01,8,11,9999.9,9999.9,1985.0,bet placed
2016-07-15_3_01,11,8,9999.9,9999.9,1985.0,bet placed
2016-07-15_3_01,12,8,9999.9,4976.4,505.1,bet placed
2016-07-16_1_02,4,10,9999.9,9999.9,657.7,bet placed
2016-07-16_1_02,4,11,9999.9,9999.9,305.1,bet placed
2016-07-16_1_02,5,10,9999.9,9999.9,501.6,bet placed
2016-07-16_1_02,6,10,9999.9,6557.5,486.7,bet placed
2016-07-16_1_02,10,1,9999.9,9654.6,654.4,bet placed
2016-07-16_1_02,10,4,9999.9,9999.9,657.7,bet placed
2016-07-16_1_02,10,5,9999.9,9999.9,501.6,bet placed
2016-07-16_1_02,10,11,9999.9,9999.9,426.6,bet placed
2016-07-16_1_02,11,4,9999.9,9999.9,305.1,bet placed
2016-07-16_1_02,11,10,9999.9,9999.9,426.6,bet placed
2016-07-16_1_03,7,3,9999.9,6359.3,500.2,bet placed
2016-07-16_1_03,9,3,9999.9,8520.4,635.0,bet placed
2016-07-16_1_12,3,9,9999.9,7304.6,447.2,bet placed
2016-07-16_2_05,10,4,9999.9,3937.1,54.4,bet placed
2016-07-17_1_01,7,12,9999.9,7665.1,524.1,bet placed
2016-07-17_1_01,12,9,9999.9,8536.1,340.2,bet placed
2016-07-22_2_05,3,10,9999.9,9999.9,133.6,bet placed
2016-07-22_2_05,5,10,9999.9,8318.4,233.0,bet placed
2016-07-22_2_05,10,3,9999.9,9999.9,133.6,bet placed
2016-07-24_3_05,2,7,9999.9,9999.9,1431.7,bet placed
2016-07-24_3_05,2,12,9999.9,9999.9,1260.3,bet placed
2016-07-24_3_05,2,15,9999.9,9999.9,1421.0,bet placed
2016-07-24_3_05,3,9,9999.9,9507.8,705.2,bet placed
2016-07-24_3_05,3,12,9999.9,9999.9,1227.6,bet placed
2016-07-24_3_05,5,2,9999.9,4901.4,869.1,bet placed
2016-07-24_3_05,7,2,9999.9,9999.9,1431.7,bet placed
2016-07-24_3_05,7,12,9999.9,9999.9,1013.2,bet placed
2016-07-24_3_05,9,2,9999.9,6878.2,858.6,bet placed
2016-07-24_3_05,10,2,9999.9,8114.6,1450.0,bet placed
2016-07-24_3_05,10,3,9999.9,6599.4,681.5,bet placed
2016-07-24_3_05,11,2,9999.9,6090.6,602.1,bet placed
2016-07-24_3_05,12,2,9999.9,9999.9,1260.3,bet placed
2016-07-24_3_05,12,3,9999.9,9999.9,1227.6,bet placed
2016-07-24_3_05,12,7,9999.9,9999.9,1013.2,bet placed
2016-07-24_3_05,12,9,9999.9,8692.4,1091.0,bet placed
2016-07-24_3_05,13,2,9999.9,3996.9,618.5,bet placed
2016-07-24_3_05,15,2,9999.9,9999.9,1421.0,bet placed
2016-07-24_3_05,15,3,9999.9,4724.6,857.3,bet placed
2016-07-24_3_05,15,7,9999.9,8176.4,757.9,bet placed
2016-07-30_1_01,2,9,9999.9,6959.1,685.9,bet placed
2016-07-30_1_03,12,5,9999.9,9007.9,431.7,bet placed
2016-07-30_1_03,12,7,9999.9,7063.2,643.1,bet placed
2016-07-30_1_05,2,8,9999.9,9811.9,418.9,bet placed
2016-07-31_1_08,1,12,9999.9,9999.9,572.7,bet placed
2016-07-31_1_08,12,1,9999.9,9999.9,572.7,bet placed
2016-07-31_1_13,1,8,9999.9,8716.8,401.1,bet placed
2016-07-31_1_13,2,8,9999.9,9753.9,309.1,bet placed
2016-07-31_1_13,3,10,9999.9,5515.4,280.7,bet placed
2016-08-13_1_01,4,8,9999.9,9999.9,512.5,bet placed
2016-08-13_1_01,7,12,9999.9,7021.5,445.7,bet placed
2016-08-13_1_01,8,4,9999.9,9999.9,512.5,bet placed
2016-08-13_1_01,8,12,9999.9,9999.9,588.4,bet placed
2016-08-13_1_01,12,8,9999.9,9999.9,588.4,bet placed
2016-08-13_1_08,3,5,9999.9,9999.9,891.8,bet placed
2016-08-13_1_08,3,7,9999.9,9999.9,676.5,bet placed
2016-08-13_1_08,4,7,9999.9,5378.3,436.4,bet placed
2016-08-13_1_08,5,3,9999.9,9999.9,891.8,bet placed
2016-08-13_1_08,5,7,9999.9,9999.9,704.7,bet placed
2016-08-13_1_08,7,3,9999.9,9999.9,676.5,bet placed
2016-08-13_1_08,7,5,9999.9,9999.9,704.7,bet placed
2016-08-13_1_08,14,5,9999.9,8505.7,857.5,bet placed
2016-08-13_1_15,3,12,9999.9,7278.4,343.1,bet placed
2016-08-13_1_15,6,10,9999.9,8372.2,587.6,bet placed
2016-08-13_1_15,6,12,9999.9,9285.2,931.4,bet placed
2016-08-14_1_04,14,7,9999.9,9584.6,464.8,bet placed
2016-08-19_2_08,2,9,9999.9,9999.9,91.9,bet placed
2016-08-19_2_08,9,2,9999.9,9999.9,91.9,bet placed
2016-08-20_1_01,1,7,9999.9,9999.9,522.7,bet placed
2016-08-20_1_01,7,1,9999.9,9999.9,522.7,bet placed
2016-08-20_1_05,5,12,9999.9,6977.7,354.1,bet placed
2016-08-20_1_05,9,12,9999.9,9999.9,468.7,bet placed
2016-08-20_1_05,11,9,9999.9,5083.9,382.8,bet placed
2016-08-20_1_05,12,9,9999.9,9999.9,468.7,bet placed
2016-08-20_2_04,3,5,9999.9,7517.6,240.3,bet placed
2016-08-20_2_04,4,5,9999.9,2130.0,425.1,bet placed
2016-08-20_2_04,6,5,9999.9,6726.3,125.6,bet placed
2016-08-20_2_04,9,8,9999.9,5325.0,157.9,bet placed
2016-08-21_1_05,2,12,9999.9,7301.6,217.1,bet placed
